건강성평가등급,조사지점,주소,위도_경도
C,가계천1,경상북도 봉화군 봉성면 금봉리(들목교),"36.932531, 128.787745"
B,가계천2,경상북도 봉화군 봉화읍 삼계리(삼계교),"36.899348, 128.736225"
C,가곡천,경기도 남양주시 수동면 송천리,
C,가당천,전라북도 무주군 부남면 굴암리,
C,가도천,경상북도 문경시 호계면 구산리(구산교),
C,가례천,경상남도 함안군 군북면 동촌리,
B,가막,전라북도 진안군 진안읍 가막리(가막교),
A,가막-3,전라북도 장수군 천천면 춘송리,
C,가암천-1,경상북도군위군고로면가암리,
B,가일천,경기도 가평군 설악면 가일리,
C,가정천(양평),경기도 양평군 양서면 용담리,
C,가정천(홍천),강원도 춘천시 남면 발산리,
A,가천(봉화),경상북도 봉화군 재산면 갈산리(미장교),
A,가천(포항),경상북도 포항시 북구 죽장면 하옥리,
C,가천-2,경상남도 거창군 가조면 장기리,
B,간매천,경기도 여주군 강천면 이호리 (GS주유소 지나서 왼쪽에 보이는 마을 입구 작은 다리),
B,간문천2,전라남도 구례군 간전면 간문리,
D,간월호,충청남도 홍성군 서부면 궁리(간월호 A방조제 댐앞),
C,갈곡천(고창),전라북도 고창군 흥덕면 오호리,
C,갈곡천(산청),경상남도 산청군 생비량면 도리,
C,갈운천,경기도 양평군 청운면 갈운리,
C,감존천,경상북도 경주시 산내면 내일리,
B,감천-1,경상북도 김천시 지례면(여배교),
B,감천-2,경상북도 김천시 구성면(금광교),
C,감천2-1,경상북도 구미시 선산읍 원리(남산교),
C,갑천3-1,대전광역시 대덕구 대화동,
B,갑천5,"대전광역시 유성구 구즉동(금강합류 0.5㎞전,불무교 하류)",
C,강경천-2,충청남도 논산시 연무읍 봉동리,
D,강경천-3,전라북도 익산시 망성면 무형리,
C,강경천-4,전라북도 익산시 망성면 무형리,
C,강남천,전라북도 고창군 무장면 목우리,
C,강상,경기도 양평군 강상면 교평리(양평교),
C,강정1,경상북도 구미시 비산동,
D,강정천,경상북도 칠곡군 기산면(팔암교),
C,강진천1,전라남도 강진군 강진읍 학명리(신성2교),
C,강천,경기도 여주시 단현동,
C,강천1,경기도 여주군 강천면 이호리,
C,강천-1,경기도 여주시 점동면 삼합리,
B,강천-2,경기도 여주시 점동면 도리,
C,개곡천,경기도 가평군 가평읍 개곡리,
C,개천1,전라남도 장성군 북이면 조양리,
D,개천2,전라남도 장성군 북일면 박산리,
C,개천3,전라남도 장성군 서삼면 송현리,
D,개천4,전라남도 장성군 장성읍 장안리,
C,개천천,경상남도 고성군 영오면 연당리,
C,거물대천,경기도 김포시 양촌읍 흥신리,
C,거창동천1,경상남도 거창군 거창읍 학리(학리교),
A,거창위천-1,경상남도 거창군 북상면 농산리,
C,건산천,전라북도 전주시 덕진구 태진로101,
B,건지천,경기도 포천시 관인면 중리,
C,건진천,충청북도 옥천군 이원면 이원리,
D,검단천(오류),인천광역시 서구 오류동,
B,경반천,경기도 가평군 가평읍 경반리,
C,경안천5,경기도 광주시 초월읍 서하리(서하교),
B,경안천5A-1,경기도 광주시 퇴촌면 광동리,
A,경호강1-1,경상남도 산청군 산청읍 내리,
B,경호강2,경상남도 산청군 단성면 묵곡리(묵곡교),
C,경호천1,경상북도 칠곡군 약목면(복성교),
B,계남천,경상남도 산청군 생초면 어서리,
C,계룡,충청남도 공주시 계룡면 금대리,
D,계림천,경기도 여주시 대신면 무촌리,
A,계방천,강원도 홍천군 내면 명개리(내청도교 상류방향),
C,계성천-2,경상남도 창녕군 영산면 월령리,
C,계수천-1,전라북도 남원시 사매면 월평리,
D,계양천1,경기도 김포시 걸포동,
C,계월천(완주),전라북도 완주군 구 이면 계안로151,
C,고견천,경상남도 거창군 가조면 일부리,
B,고교천,충청북도 제천시 금성면 중전리,
C,고달천,전라남도 곡성군 고달면 고달리,
C,고령1,대구광역시 달성군 논공읍 하리,
C,고령-1,경상북도 고령군 다사면 월성리,
B,고막원천2-2,전라남도 함평군 학교면 석정리(새마을교),
C,고산-1,전라북도 완주군 화산면 화산로1131-47,
D,고산-2,전라북도 완주군 화산면 신구 로93-99,
C,고산3,전라북도 전주시 덕진구 전미동2가신미산길6,
C,고산-4,전라북도 완주군 고산면 하삼길23-14,
C,고산천(울주),울산광역시 울주군 온양읍 동상리,
C,고양,경기도 고양시 법곳동(일산대교),
C,고전천,경상남도 하동군 고전면 대덕리,
D,고창천1,전라북도 고창군 고창읍 읍내리,
D,고창천2,전라북도 고창군 고창읍 도산리,
C,곡강천1,경상북도 포항시 북구 신광면 호리,
C,곡강천3,경상북도 포항시 북구 흥해읍 흥안리,
C,곡강천4,경상북도 포항시 북구 흥해읍 남송리,
B,곡교천1-4,충청남도 아산시 염치읍 강청리(강청교),
C,곡교천-2,충청남도 천안시 동남구 풍세면 가송리,
B,곡성1,"전라남도 곡성군 오곡면 압록리(예성교,보성강합류전상류)",
D,곡수천1,경기도 여주시 대신면 당산리,
C,곡천천,울산광역시 울주군 웅촌면 곡천리,
C,곤양천,경상남도 사천시 곤양면 대진리(사천터널 앞),
C,곤양천-1,경상남도 사천시 곤명면 조장리,
C,곤지암천-3,경기도 광주시 곤지암읍 삼리,
B,골지천1-2,강원도 정선군 임계면 낙천리 (혈천교),
C,곰나루,충청남도 공주시 웅진동,
C,공암천,경상남도 합천군 용주면 공암리,
C,공주3,충청남도 부여군 부여읍 자왕리,
C,공지천1,"강원도 춘천시 효자동(공지교, 춘천종합운동장)",
C,공촌천,인천광역시 서구 경서동,
C,관대천,충청남도 아산시 둔포면 관대리,
C,관동천 (장성),전라남도 장성군 황룡면 맥호리,
C,관동천(영덕),경상북도 영덕군 지품면 삼화리,
C,관리천-1,경기도 평택시 청북면 한산리,
C,관한천,경기도 여주시 점동면 관한리,
C,광곡천(보성),전라남도 보성군 노동면 광곡리,
C,광곡천(완주),전라북도 완주군 구 이면 덕천전원길104-67,
C,광기천,충청남도 천안시 동남구 병천면 탑원리,
C,광도천,경상남도 통영시 광도면 노산리,
C,광려천2-2,경상남도 함안군 칠북면 덕남리,
D,광산1,광주광역시 남구 승촌동,
C,광산천-1,경상북도 의성군 신평면 중율리(중율4교),
D,광암천(칠곡),경상북도 칠곡군 석적읍(중리교),
A,광양동천1,전라남도 광양시 옥룡면 동곡리(계곡민박 아래),
D,광정천,경상남도 함안군 가야읍 도항리,
B,광주1,광주광역시 광산구 운남동,
B,광주2,광주광역시 광산구 신촌동,
C,광주2-1,광주광역시 서구 서창동(서창교),
C,광천(순천),전라남도 순천시 주암면 광천리,
D,광천(포항),경상북도 포항시 북구 송라면 조사리,
A,광천3,경상북도 울진군 울진읍 대흥리,
E,광평천(구례),전라남도 구례군 마산면 사도리,
C,광평천(함양),경상남도 함양군 병곡면 월암리,
D,괘천,경상북도 청송군 청송읍 금곡리(청송교),
C,괴묵동천,전북 완주군 운주면 산북리(대둔산 아침산책 펜션 1km 하류 우측 주차장 아래),
C,괴촌천,경상북도 의성군 안평면(괴산교),
B,구계천,경상북도 안동시 예안면 구룡리(구룡리 수령원 약 1.5km전),
C,구량천1,전라북도 진안군 동향면 대량리,
C,구량천-1,전라북도 무주군 안성면 장기리,
A,구례,전라남도 구례군 토지면 송정리(수위표앞),
C,구룡천(광산),광주광역시광산구오산동,
C,구룡천(충주),충청북도 충주시 소태면 양촌리,
C,구룡천(함양),경상남도 함양군 함양읍 거면 이은리,
D,구룡천1(청양),충청남도 청양군 남양면 구룡리,
C,구만천,강원도 홍천군 북방면 구만리,
D,구미천,경상북도 구미시 야은로(지산교),
C,구산천-1,전라남도 함평군 나산면 덕림리,
C,구안천,충청북도 음성군 원남면 하노리,
C,구암천(보성),전라남도 보성군 웅치면 강산리,
D,구암천(영광),전라남도 영광군 법성면 화천리,
B,구야천,경상북도 칠곡군 동명면(홍신교),
B,구읍천,경기도 포천시 군내면 구읍리,
D,구포,부산광역시 북구 구포동(구포대교),
C,군내천,전라남도 진도군 군내면 정자리,
C,군서1,충청북도 옥천군 군서면 사정리,
C,군서2,충청북도 옥천군 군서면 월전리,
B,군외천,전라남도 완도군 군외면 대문리(대문교),
D,궁동천,경상북도 상주시 화동면 이소리,
C,궁촌천(영동),충청북도 영동군 매곡면 강진리,
C,궁평천,경기도 광주시 도척면 진우리,
C,금강1,충청남도 공주시 우성면 평목리,
C,금강천-2,전라남도 강진군 병영면 도룡리,
C,금강천-5,전라남도 강진군 성전면 영풍리,
C,금계천,경상북도 영주시 풍기읍 산법리(금계교),
C,금곡1,부산광역시북구금곡동,
C,금곡천(아산),충청남도 아산시 배방읍 신흥리,
D,금곡천(여주),경기도 여주시 점동면 당진리,
B,금남1,세종특별자치시 연기면 세종리,
C,금당천-1,경기도 여주시 북내면 장암리,
C,금사천,전라남도 강진군 군동면 삼신리,
D,금산천(신안),전라남도 신안군 압해면 복룡리(압해초교 쌍룡분교),
C,금산천(창원),경상남도 창원시 의창구 동읍 봉강리,
B,금산천(춘천),강원도 춘천시 서면 현암리,
C,금산천2,충청남도 금산군 남일면 황풍리,
C,금석천(안성),경기도 안성시 미양면 신기리,
D,금석천(함평),전라남도 함평군 월야면 영월리,
C,금성천(고령),경상북도 고령군 운수면 유리(유리교),
C,금양천,경상남도 합천군 합천읍 금양리,
B,금어천,경기도 용인시 처인구 포곡읍 금어리,
C,금월천,전라북도 순창군 복흥면 정산리,
C,금천(예천),경상북도 예천군 용궁면 무이리(금천1교),
C,금천-1(부여),충청남도 부여군 남면 내곡리,
B,금현천,경기도 포천시 가산면 방축리,
C,금호강1-1,경상북도 영천시 금노동(영천교),
C,금호강1-2,경상북도 영천시 금노동(금호대교),
C,금호강5-2,대구광역시 달서구 파호동(강창교 하류 700m),
D,기계천-1,경상북도 포항시 북구 기북면 대곡리,
C,길곡천(창녕),경상남도 창녕군 길곡면 증산리,
C,길곡천(홍천),"강원도 홍천군 서면 모곡리(한서교, 494번 지방도 교차점, 한서초등학교 인근)",
C,길산천-1,충청남도 서천군 기산면 월가리,
C,김제1,전라북도 김제시 백구 면 번영2길160,
B,김제2,전라북도 김제시 공덕면 저산리,
C,나주2,전라남도 나주시 삼영동,
C,낙민천,경상남도 합천군 율곡면 낙민리,
B,낙풍천,강원도 강릉시 옥계면 현내리,
B,남강1-3,경상남도 산청군 신안면 하정리,
C,남강2,경상남도 진주시 초전동(금산교),
C,남강4-2,경상남도 함안군 대산면 장암리(오천4배수장 인근),
B,남대천1(울진),경상북도 울진군 울진읍 정림리,
D,남대천2(울진),경상북도 울진군 울진읍 읍내리,
B,남대천2(의성),경상북도 의성군 봉양면 문흥리(잠수교),
C,남사천2,경상남도 산청군 단성면 남사리,
E,남산천(하동),경상남도 하동군 횡천면 남산리,
C,남상천,전라남도 장흥군 용산면 상금리,
C,남양천(화성),경기도 화성시 남양읍 남양리,
B,남원,전라북도 남원시 금지면 귀석리(금곡교),
C,남원천2,충청남도 당진시 우강면 부장리,
B,남이섬1,강원도 가평군 가평읍 복장리(복장초교 앞),
C,남전천,경기도 화성시 비봉면 삼화리,
D,남지2,경상남도 창녕군 길곡면 증산리,
C,남창천(남원),전라북도 남원시 수지면 남창리,
C,남창천(무안),전라남도 무안군 일로읍 죽산리,
C,남창천(울주),울산광역시 울주군 온양읍 외광리,
C,남천(단양),충청북도 단양군 영춘면 남천리,
,남천(대연),부산광역시 남구 대연동,
D,남천1(경산),경상북도 경산시 중방동(서옥교),
C,남천2(경주),경상북도 경주시 교동,
D,남천2(수성),대구광역시 수성구 성동(성동교),
C,남해봉천1,"경상남도 남해군 남해읍 남변리(다리,입현교)",
B,내남천,전라남도 화순군 남면 남계리,
D,내동천(창원),경상남도 창원시 명곡동(명곡교회),
B,내린천-2,강원도 인제군 기린면 현리,
B,내복천1,전라남도 화순군 북면 수리,
D,내복천2,전라남도 화순군 북면 다곡리,
C,내삼천,경상남도 김해시 주촌면 농소리,
B,내서천2,전라남도 구례군 토지면 외곡리,
B,내성천-3,경상북도 영주시 이산면 두월리(두월교),
B,내성천3-1,경상북도 예천군 용궁면 향석리(성저교),
C,내성천5-1,경상북도 예천군 호명면 황지리,
A,내원천,경상남도 산청군 시 천면 동당리,
B,내촌천,경상남도 진주시 대평면 내촌리,
C,내촌천2,강원도 홍천군 서석면 수하리,
B,냉정천,경상남도 진주시 집현면 냉정리,
C,노곡천,경상남도 합천군 봉산면 술곡리,
C,노곡천1,경기도 광주시 도척면 유정리,
C,노동천(나주),전라남도 나주시 남평읍 풍림리,
C,노량진,서울특별시 용산구 이촌동(한강대교),
C,노림천,경상북도 안동시 남선면 원림리(원림1교),
C,노성천-2,충청남도 논산시 노성면 하도리,
C,노안,전라남도 나주시 노안면 학산리,
C,논공1,경상북도 고령군 개진면 인안리,
C,논공2,경상북도 고령군 우곡면 예곡리,
C,논덕천,경상남도 합천군 봉산면 계산리,
B,논미천,강원도 화천군 하남면 논미리,
C,논산천-2,충청남도 논산시 양촌면 채광리,
C,논산천4,충청남도 논산시 강경읍 북욱리(강경대교 밑 배수갑문),
C,눌인천,경상북도 청송군 현동면 창양리(창양교),
C,능성천,대구광역시 동구 능성동(전인교),
C,다사,대구광역시 달성군 다사읍 죽곡리,
C,다산천,전라북도 남원시 보절면 진기리,
B,단계천1,경상남도 산청군 신등면 율현리,
B,단계천2,경상남도 산청군 신등면 단계리,
C,단광천,전라남도 장성군 황룡면 와룡리,
C,단장천4,경상남도 밀양시 단장면 단장리,
D,달길천,전라북도 진안군 성수면 좌포리,
C,달성1,경상북도 고령군 다사면 호촌리,
C,달전천,경기도 가평군 가평읍 문화로13-42,
B,달천3A-2,"충청북도 충주시 풍동(유주막다리, 19번 국도 교차점, 단월교차로)",
C,담양,전라남도 담양군 금성면 금월리(금월교),
D,당산천,경상남도 거창군 마리면 율리(율리교),
C,당진천-1,충청남도 당진군 송산면 당산리(오도교),
C,당현천,서울특별시 노원구 중계동,
C,당호천,전라남도 무안군 몽탄면 당호리,
A,대가천1-1,경상북도 성주군 금수면 영천리(하림암교),
B,대가천3,경상북도 고령군 운수면 화암리(작천교),
C,대곡천 (예산),충청남도 예산군 대술면 상항리,
B,대곡천(대곡),인천광역시 서구 대곡동,
C,대곡천(창녕),경상남도 창녕군 남지읍 반포리,
D,대곡천(청도),경상북도 청도군 각남면 칠성리,
B,대곡천1-2,울산광역시 울주군 두동면 천전리,
C,대덕천(담양),전라남도 담양군 대덕면 갈전리,
C,대도천,전라남도 장성군 삼서면 수해리,
C,대동천,전라남도 함평군 대동면 용성리,
C,대망천,경상북도 구미시 선산읍(원동교),
C,대방천(김천),경상북도 김천시 조마면(유산교),
C,대방천(영등포),서울특별시 영등포구 신길동,
C,대산천(진주),경상남도 진주시 이반성면 대천리,
D,대산천(함안),경상남도 함안군 대산면 구혜리,
D,대산천1(거창),경상남도 거창군 남상면 둔동리(남진2교),
B,대산천2(거창),경상남도 거창군 남상면 송변리(괴하정교),
B,대산천2(고창),전라북도 고창군 대산면 덕천리,
C,대신,경기도 여주시 대신면 천남리,
C,대암1,울산광역시 울주군 언양읍 구수리,
C,대암-1,대구광역시 달성군 구지면 대암리(우곡교),
D,대야천,전라남도 완도군 완도읍 대야리,
C,대장천,경기도 고양시 덕양구 토당동,
C,대전천(괴산),충청북도 괴산군 청천면 덕평리,
C,대전천(담양),전라남도 담양군 대전면 응용리,
B,대전천(연천),경기도 연천군 청산면 대전리,
E,대정천,경상남도 거창군 위천면 황산리,
C,대종천,경상북도 경주시 양북면 구길리(구길교),
C,대창천,경상북도 영천시 금호읍(대구대교),
B,대청댐,대전광역시 동구 추동(추동취수탑),
B,대초천1,전라남도 화순군 도암면 호암리,
C,대촌천-2,광주광역시남구칠석동,
D,대치천(예산),충청남도 예산군 덕산면 둔리,
D,대필천,경상남도 진주시 지수면 압사리,
B,대하리천2,경상북도 문경시 산북면 이곡리(달곡교),
D,대합천,경상남도 창녕군 대지면 석리,
C,덕계천-1,경상남도 양산시 덕계동,
B,덕두원천,강원도 춘천시 서면 덕두원리,
C,덕림천,전라남도 나주시 다도면 덕림리,
B,덕산천 (나주),전라남도 나주시 왕곡면 옥곡리,
C,덕산천2,충청남도 예산군 삽교읍 이리,
C,덕송천,경기도 남양주시 별내동,
C,덕수천,경기도 양평군 청운면 비룡리,
C,덕진천,전라북도 순창군 팔덕면 창덕리,
B,덕천2,충청북도 단양군 단성면 장회리,
C,덕천강-2,경상남도 산청군 삼장면 평촌리,
D,덕천강4,경상남도 진주시 수곡면 창촌리,
B,덕천천(군위),경상북도 군위군 고로면(덕치교 상류 10m),
C,덕치천2,강원도 홍천군 동면 덕치리,
C,도고천,충청남도 아산시 선장면 돈포리,
B,도곡천(화순),전라남도 화순군 도곡면 천암리,
D,도근천,제주도 제주시 외도이동(외도교),
C,도대천,경기도 평택시 현덕면 대안리,
B,도리천,경기도 이천시 대월면 구시리,
B,도마천(강릉),강원도 강릉시 왕산면 도마리,
C,도인천,전라북도 임실군 임실읍 갈마리,
D,도일천,경기도 평택시 신대동,
B,도천,충청남도 공주시 우성면 신웅리,
C,도통천,전라북도 진안군 성수면 도통리(도룡2교),
C,도포천,전라남도 영암군 덕진면 용산리,
D,도호천,광주광역시서구서창동,
D,독산천,경상남도 진주시 내동면 독산리,
C,돌산천,전라남도 여수시 돌산읍 우두리(도실삼거리),
B,동계-1,전라북도 순창군 적성면 구미리(구미교상류2km),
C,동계천(곡성),전라남도 곡성군 죽곡면 동계리,
B,동계천(안동),경상북도 안동시 예안면 태곡리(태곡교),
C,동곡천,경상북도 청도군 금천면 동곡리,
C,동대천,충청북도 단양군 영춘면 용진리,
B,동두천,경기도 동두천시 보산동,
C,동룡천,전라남도 순천시 별량면 송기리,
C,동막천,강원도 홍천군 서면 길곡리,
B,동막천-1,경기도 용인시 수지구 동천동,
C,동산천,경기도 이천시 호법면 주박리,
C,동진강1-2,전라북도 정읍 시 칠보면 복호1길42,
C,동진강2-2,전라북도 정읍 시 정우면 대북길25-45,
D,동진강4,전라북도 김제시 부량면 전군 길215-18,
B,동창천2,경상남도 밀양시 상동면 고정리,
,동천(문현),부산광역시 남구 문현동,
B,동천(화순),전라남도 화순군 동면 도리,
C,동천1(중산),울산광역시 북구 중산동,
