name,class,N,E
골지천1-2,C,"37°27'53.18""","128°50'49.04"""
송천1,B,"37°39'12.39""","128°41'59.71"""
송천1-1,C,"37°34'31.62""","128°44'35.47"""
월정천,C,"37°39'56.88""","128°35'42.82"""
한강-1,C,"37°18'00.40""","128°37'00.90"""
한강-2,C,"37°16'38.00""","128°34'29.50"""
영월1,B,"37°10'55.00""","128°28'32.00"""
평창강1-2,A,"37°22'35.32""","128°23'33.21"""
평창강3-2,C,"37°17'18.92""","128°19'32.75"""
석문천(횡성),B,"37°33'06.27""","128°13'40.03"""
황둔천,C,"37°15'33.86""","128°11'17.08"""
주천강1-2,C,"37°17'24.48""","128°14'26.77"""
송한천2,A,"37°13'50.00""","128°16'22.60"""
삼화천,A,"37°09'37.02""","128°20'04.64"""
승당천,C,"37°10'38.26""","128°24'27.39"""
문곡천1,B,"37°15'19.27""","128°25'37.27"""
평창강3-1,B,"37°10'17.00""","128°27'20.00"""
영월2,D,"37°09'36.4""","128°29'45.0"""
옥동천1-2,C,"37°06'51.15""","128°40'06.13"""
동대천,C,"37°04'37.03""","128°30'53.89"""
남천(단양),C,"37°03'48.82""","128°29'35.61"""
보발천,C,"37°03'01.43""","128°25'12.26"""
임현천,B,"37°03'23.58""","128°23'12.48"""
매포천-1,B,"37°01'56.68""","128°18'57.50"""
솔티천,C,"36°58'54.04""","128°23'42.62"""
올산천,C,"36°52'13.60""","128°21'06.27"""
덕천2,B,"36°56'08.83""","128°18'15.48"""
고교천,C,"37°03'46.38""","128°11'19.55"""
팔송천,D,"37°09'05.72""","128°07'30.05"""
하소천,C,"37°07'52.30""","128°11'55.40"""
원박천,C,"37°06'21.78""","128°05'07.44"""
원서천-1,C,"37°10'13.37""","127°59'20.93"""
제천천3,C,"37°04'13.95""","128°01'48.20"""
성천,D,"36°55'04.00""","128°06'43.80"""
충주댐1,C,"37°00'30.30""","127°59'17.40"""
목행대교,C,"37°01'08.0""","127°55'08.8"""
흑천,C,"36°35'10.96""","127°40'30.41"""
중리천(청주),C,"36°38'16.82""","127°39'27.68"""
인경천,B,"36°37'24.10""","127°36'46.32"""
미원천2(청주),C,"36°36'16.05""","127°41'16.41"""
황암천,C,"36°42'46.06""","127°44'10.80"""
대전천(괴산),D,"36°43'42.38""","127°48'01.67"""
쌍천-1,C,"36°45'59.80""","127°59'32.16"""
쌍천-2,D,"36°47'07.00""","127°54'25.32"""
성황천(괴산),C,"36°48'20.04""","127°47'36.19"""
음성천-1,C,"36°55'23.27""","127°41'44.49"""
구안천,C,"36°54'58.20""","127°41'35.80"""
한벌천,A,"36°55'37.23""","127°44'53.29"""
오가천(괴산),C,"36°52'47.07""","127°56'05.54"""
달천3A-2,B,"36°56'23.00""","127°55'15.00"""
영평천,C,"36°58'57.00""","127°48'15.90"""
송강천(충주),D,"37°04'30.96""","127°57'03.67"""
구룡천(충주),B,"37°05'29.81""","127°52'31.83"""
앙성천2,C,"37°05'22.01""","127°48'34.46"""
원주,B,"37°12'16.60""","127°44'45.00"""
하수남천,A,"37°28'47.48""","128°02'53.48"""
장양천,B,"37°25'13.77""","127°57'43.90"""
화천(원주),C,"37°20'24.50""","127°57'57.30"""
